[00:00.000 --> 00:02.000]  I've got too many iPads
[02:15:53.000 --> 02:16:01.000]  that they actually can't get rid of because there are, including the brand new regular iPad,
[02:16:01.000 --> 02:16:04.000]  there's so many iPads that aren't going to support Stage Manager
[02:16:04.000 --> 02:16:08.000]  so split screen still has to be there for those iPads
[02:16:08.000 --> 02:16:14.000]  but it's very unnatural to me and I don't know how to explain to somebody
[02:16:14.000 --> 02:16:18.000]  when they would want to use Split View and when they should be using Stage Manager.
[02:16:18.000 --> 02:16:22.000]  Well right, and you go to all this effort to have two windows be side by side
[02:16:22.000 --> 02:16:26.000]  and it's like, well wait a second, that's just Split View and in fact if you turn off,
[02:16:26.000 --> 02:16:30.000]  if you're in that mode and you turn off Stage Manager, it just goes into Split View
[02:16:30.000 --> 02:16:33.000]  so it's like it's actually Split View behind the scenes
[02:16:33.000 --> 02:16:37.000]  and yeah, it comes back to my big complaint which I think is going to even be more
[02:16:37.000 --> 02:16:41.000]  when they turn on external display support which is I think fundamentally
[02:16:41.000 --> 02:16:46.000]  they're trying to have it both ways where they want, it's like well we're going to give you Mac style windows
[02:16:46.000 --> 02:16:48.000]  but we're going to control where they go.
[02:16:48.000 --> 02:16:49.000]  And what sizes they can be.
[02:16:49.000 --> 02:16:53.000]  And what sizes they can be and like I try to make a window half height size
[02:16:53.000 --> 02:16:55.000]  and it's like no, it has to be the full height size.
[02:16:55.000 --> 02:16:57.000]  I'm like why? Why does it have to be that way?
[02:16:57.000 --> 02:16:59.000]  It's because the system says it has to be.
[02:16:59.000 --> 02:17:03.000]  And this is like I understand what they're doing here and I want to be sympathetic to them on one level.
[02:17:03.000 --> 02:17:05.000]  This is very hard. All of this is hard.
[02:17:05.000 --> 02:17:10.000]  But on a higher philosophical level I have to say, if you're going to make Mac style windows,
[02:17:10.000 --> 02:17:15.000]  you don't get to play iPad games and say we actually tell you how big your windows are.
[02:17:15.000 --> 02:17:19.000]  Like if you're going to make Mac style windows, you got to let me make them whatever size I want
[02:17:19.000 --> 02:17:21.000]  and put them wherever I want.
[02:17:21.000 --> 02:17:23.000]  You have to do that otherwise what are we even doing here?
[02:17:23.000 --> 02:17:26.000]  Like why didn't you just do tiling like windows at that point?
[02:17:26.000 --> 02:17:30.000]  Because the beauty of Mac windowing, I think,
[02:17:30.000 --> 02:17:33.000]  and everybody windows different, everybody handles their windowing different,
[02:17:33.000 --> 02:17:37.000]  but I find the beauty of it is you put a big pile of windows on your screen
[02:17:37.000 --> 02:17:41.000]  and you can see them usually and there's a gesture if you can't.
[02:17:41.000 --> 02:17:44.000]  And when you want to use one of them, you click on it.
[02:17:44.000 --> 02:17:47.000]  And you can move it where you want and you use it and then you say,
[02:17:47.000 --> 02:17:49.000]  oh now I want to be in that window and you click on it.
[02:17:49.000 --> 02:17:55.000]  It's not that hard. I know it's not neat, but it's like it works really well and has worked really well for decades.
[02:17:55.000 --> 02:18:03.000]  To have it be that you get windows but you can't make them the size you want or put them where you want.
[02:18:03.000 --> 02:18:05.000]  The system just won't allow you.
[02:18:05.000 --> 02:18:07.000]  I don't know what we're doing here, right?
[02:18:07.000 --> 02:18:11.000]  It's like why would you go to this trouble of making windows and then say,
[02:18:11.000 --> 02:18:13.000]  oh but you can't control them.
[02:18:13.000 --> 02:18:15.000]  Like why would you do that?
[02:18:15.000 --> 02:18:18.000]  And yet that's where we are with stage manager on the iPad.
[02:18:18.000 --> 02:18:21.000]  I don't get it. It seems poorly thought out.
[02:18:21.000 --> 02:18:23.000]  It seems like a compromise is what it feels like.
[02:18:23.000 --> 02:18:29.000]  It seems like somebody convinced them that they could do windowing on the iPad after a long argument.
[02:18:29.000 --> 02:18:35.000]  And then after they agreed, they immediately said, but you can't control them.
[02:18:35.000 --> 02:18:36.000]  That's our compromise.
[02:18:36.000 --> 02:18:38.000]  It's like I don't know why we're what we're even doing here.
[02:18:38.000 --> 02:18:45.000]  Well, I always like to say it's one of my favorite recurring things that I like to hammer is that it's not just what your top priorities are.
[02:18:45.000 --> 02:18:49.000]  It's the exact order of them matters significantly.
[02:18:49.000 --> 02:18:58.000]  If you have three priorities for any project or endeavor, which one's first, which one's second, which one's third can have profound differences,
[02:18:58.000 --> 02:19:03.000]  even if all three of them seem like they go together and aren't in conflict with each other.
[02:19:03.000 --> 02:19:14.000]  And I feel like where they're out of whack with stage manager for iPad is they've it feels to me and I sort of feel this comes directly from Federighi.
[02:19:14.000 --> 02:19:18.000]  I mean, I don't know this, but I'll throw Craig Federighi under the bus.
[02:19:18.000 --> 02:19:27.000]  And I kind of because it just feels like like he's come out and almost said it, that it's the option to avoid clutter.
[02:19:27.000 --> 02:19:33.000]  And the it's such a high priority that that option.
[02:19:33.000 --> 02:19:35.000]  But there's no option.
[02:19:35.000 --> 02:19:37.000]  Well, by turning on stage manager.
[02:19:37.000 --> 02:19:41.000]  Right. That using stage manager is optional on both Mac and iPad.
[02:19:41.000 --> 02:19:45.000]  That's true. One of the goals should be to avoid clutter.
[02:19:45.000 --> 02:19:50.000]  And I think that's truly an admirable idea for this feature on both platforms.
[02:19:50.000 --> 02:20:00.000]  But I feel like it's such a high priority on iPad that it's what makes these awkward restrictions that they won't.
[02:20:00.000 --> 02:20:03.000]  There's no possible way to get cluttered.
[02:20:03.000 --> 02:20:07.000]  And therefore, there's all sorts of things you'd like to do that you can't.
[02:20:07.000 --> 02:20:13.000]  I linked to a video that a guy named Jeff Holbrook made the other day where he was trying to figure it out on his iPad.
[02:20:13.000 --> 02:20:21.000]  And the one scenario he got into, he had like a window on the left and he had a picture in picture video up in the top right.
[02:20:21.000 --> 02:20:26.000]  And then there's like this two thirds height gap on the right side of the screen.
[02:20:26.000 --> 02:20:29.000]  And he wanted to make this other window fill that.
[02:20:29.000 --> 02:20:32.000]  And there was no way to make it fill the whole space.
[02:20:32.000 --> 02:20:37.000]  It's like an obvious space to be filled to have three windows and three windows.
[02:20:37.000 --> 02:20:40.000]  It wasn't like a contrived arrangement.
[02:20:40.000 --> 02:20:47.000]  I don't know what they were, but let's say it was like a web browser on the left, a video playing in the top right.
[02:20:47.000 --> 02:20:57.000]  And you'd want notes in that two thirds height gap in the lower right corner to take notes of the stuff that's in the email on the left as you watch this video.
[02:20:57.000 --> 02:21:01.000]  And there was no way to make the window fill the gap.
[02:21:01.000 --> 02:21:03.000]  And it's obvious that it should be.
[02:21:03.000 --> 02:21:09.000]  I'll point out that on the Mac, if you do picture in picture, if you hold down, here's a little tip for everybody out there.
[02:21:09.000 --> 02:21:11.000]  If you hold down, I believe it's the command key.
[02:21:11.000 --> 02:21:14.000]  You can drag the picture in picture window anywhere you want.
[02:21:14.000 --> 02:21:17.000]  Position it anywhere you want.
[02:21:17.000 --> 02:21:20.000]  On the iPad, you can't. It has to be in a corner.
[02:21:20.000 --> 02:21:30.000]  And I feel like this is a similar thing, which is like I'm kind of okay with the system trying to keep my windows tidy to a certain point.
[02:21:30.000 --> 02:21:32.000]  But like it is my device.
[02:21:32.000 --> 02:21:37.000]  And if I want it in that corner and if I want it to be this size, there's got to be a way for me to do that.
[02:21:37.000 --> 02:21:45.000]  And right. I think it comes back to the fact that this is a feature that is introducing windowing to an entire platform for the first time.
[02:21:45.000 --> 02:21:52.000]  That is like you said, priority wise, but it is a tidying and focusing feature, right?
[02:21:52.000 --> 02:22:06.000]  It's go back to 1984 with the original Mac and why they called it the desktop and why they called it a desktop metaphor and use actual folders for what were previously and still technically known as directories in the file system.
[02:22:06.000 --> 02:22:12.000]  And the documents files actually looked like pieces of paper with dog eared corner to show that it's a document.
[02:22:12.000 --> 02:22:25.000]  But when you had these windows and that they could overlap and you could make them whatever size you wanted to and position them wherever you wanted to on screen right down to and wherever you let go of the mouse as you moved it, it just stayed right there.
[02:22:25.000 --> 02:22:36.000]  And I it was revolutionary at the time that there were certainly like word processors that could open three documents at a time, but you couldn't see all three at the same time.
[02:22:36.000 --> 02:22:44.000]  And how you switched was different between each one. And here you could arrange your windows so that you could see each one tile down into the left and you could see them and click them.
[02:22:44.000 --> 02:22:49.000]  And you couldn't magically show on a tiny nine inch Mac display.
[02:22:49.000 --> 02:22:55.000]  You couldn't see the full width of multiple ones at the same time, but you could see the windows and how they were ordered.
[02:22:55.000 --> 02:23:02.000]  And if you kept opening windows, yes, you'd have too many and it would be tough to manage them.
[02:23:02.000 --> 02:23:08.000]  But that was because you opened them, but everything was where you put it with stage manager on iPad.
[02:23:08.000 --> 02:23:19.000]  It's like as if the papers somehow magnetic and there's magnets on your desk and you're trying to move the paper. You want a piece of paper or an index card right here.
[02:23:19.000 --> 02:23:24.000]  And every time you put it where you want it, the magnet in your desk slides it over to the right more.
[02:23:24.000 --> 02:23:30.000]  And it's always over on the edge of your desk. And you're like, no, I just want to put this index card where I've got these phone numbers.
[02:23:30.000 --> 02:23:35.000]  I just want it right here. And every time you let go of it, it just flies over to the side of your desk. It's maddening.
[02:23:35.000 --> 02:23:42.000]  And it's like it like you said, it'd be great if it's optional and there was like a button you could press so that you could snap it over to the side if that's what you want.
[02:23:42.000 --> 02:23:46.000]  But if you are a button you could press so that you could just put it wherever you want.
[02:23:46.000 --> 02:23:53.000]  I don't know. It's for lack of a better word, it's too un-Mac like on iPad.
[02:23:53.000 --> 02:23:59.000]  And I don't want iPad to become Mac OS. It's absolutely its own character.
[02:23:59.000 --> 02:24:08.000]  But the restrictions of Stage Manager on iPad OS should be more Mac like in terms of giving you some way to get precision control.
[02:24:08.000 --> 02:24:11.000]  To say, I know what I'm doing. I want this window exactly here.
[02:24:11.000 --> 02:24:16.000]  Right. It's like they're giving you, they say, congratulations, we're giving you absolute freedom.
[02:24:16.000 --> 02:24:19.000]  And then with their next breath, they're like, but you can't have it. You actually can't.
[02:24:19.000 --> 02:24:28.000]  And like I said, I don't understand the point if you're not going to let, you got to give people, if you're going to grant free will, you need to live it down, right?
[02:24:28.000 --> 02:24:39.000]  You need to let them make bad decisions because it turns out that a mess of windows on your screen is actually, it's messy, I know, but it's actually kind of productive.
[02:24:39.000 --> 02:24:45.000]  It's a good productivity tool for a lot of people. And then if they want to tidy it up and put it in different spaces and all of that, great.
[02:24:45.000 --> 02:24:48.000]  Let them do that. But you got to give people the freedom to do that.
[02:24:48.000 --> 02:24:53.000]  And right now Stage Manager feels like a, yeah, it's a feature where they wanted to be sort of Mac like,
[02:24:53.000 --> 02:25:01.000]  but then the iPad desire to override and control everything kind of came back in and you end up with a feature that's just, it's neither phish nor foul right now.
[02:25:01.000 --> 02:25:10.000]  It needs more freedom, at least optionally. And to go back to my original point, I really hope they keep working on it and keep trying to figure it out.
[02:25:10.000 --> 02:25:16.000]  Because the worst thing for the platform as a whole would be for Apple to act like they had solved it and walk away.
[02:25:16.000 --> 02:25:24.000]  And then it's just this forgotten button in Control Center that's off by default and people toggle it and they're like, why would I do this?
[02:25:24.000 --> 02:25:33.000]  And nothing happens. Hopefully not. I hope. And again, I think one of the best reasons for them to pursue it isn't just that it's the right thing to do in the abstract,
[02:25:33.000 --> 02:25:39.000]  but that there's clearly so much enthusiasm in the user base for the basic idea of the feature.
[02:25:39.000 --> 02:25:44.000]  There's so much enthusiasm for it. Yes. So hopefully they listen.
