[00:00.000 --> 00:03.640]  So live in life one I'll tell you yeah, you know
[2:46:37.740 --> 2:46:42.460]  But whatever some people like these materials so we're offering it, but don't like be ashamed of
[2:46:42.460 --> 2:46:47.980]  Right, so a lot of people a lot of people have been saying to me like with my $10,000 starting price
[2:46:49.100 --> 2:46:51.100]  Two arguments I heard
[2:46:51.100 --> 2:46:56.460]  One of them was somebody a couple people told me, you know, you know this because you're in San Francisco
[2:46:57.180 --> 2:46:59.180]  Or you know tech crunches in San Francisco
[2:46:59.180 --> 2:47:04.460]  But you know that there's a lot of Apple employees have been spotted wearing Apple watch for the last couple months out and about
[2:47:05.100 --> 2:47:10.060]  And I've got an email some people who've seen people wearing gold ones
[2:47:10.060 --> 2:47:16.460]  So they're like well, that's obviously not going to be $10,000 because what company would give an employee a $10,000 watch
[2:47:16.620 --> 2:47:20.140]  To wear as a test unit and my answer to them is always
[2:47:20.860 --> 2:47:22.860]  Apple
[2:47:22.860 --> 2:47:28.860]  Exactly like that was not proof that the thing was not $10,000 like Apple has some money, you know
[2:47:29.500 --> 2:47:35.180]  And also Apple's cost is not $10,000 like the watch doesn't cause $9,000 to make
[2:47:37.020 --> 2:47:39.020]  but
[2:47:39.020 --> 2:47:41.020]  the other thing that
[2:47:41.020 --> 2:47:43.020]  People have said is well
[2:47:43.020 --> 2:47:47.740]  How are they going to announce that price? You really think Tim Cook is going to stand in front of a slide that reads 999
[2:47:47.980 --> 2:47:49.500]  And also it's interesting to me
[2:47:49.500 --> 2:47:53.980]  I should have predicted that they're not going with 999 pricing. It's $10,000
[2:47:54.220 --> 2:47:55.180]  $17,000
[2:47:55.180 --> 2:47:57.180]  Very deliberate very little as soon as I saw that
[2:47:57.260 --> 2:47:59.420]  I the first thing I did is I opened up a tab
[2:47:59.580 --> 2:48:06.740]  I went to Tiffany.com and started browsing around and that's how Tiffany charges to like if you buy a $17,000 bracelet
[2:48:06.740 --> 2:48:09.620]  At Tiffany, it's $170,000
[2:48:09.620 --> 2:48:13.060]  Yeah, and every other watch is 999,000
[2:48:13.060 --> 2:48:16.500]  Yeah, or 9,000 like every other watch they offer
[2:48:16.500 --> 2:48:19.220]  Apple watches but the additions are not
[2:48:19.220 --> 2:48:26.180]  Right, I should have predicted that once you you know at that level the unit is not the dollar the unit is the
[2:48:26.180 --> 2:48:32.340]  $1,000 it's how many thousand dollars and that's just the unit that people who are going to buy that think in
[2:48:32.340 --> 2:48:40.180]  But the answer was he didn't stand in front of a slide with any prices. He just said it and it was right
[2:48:40.180 --> 2:48:43.540]  I think it was awkward. I think it was terribly awkward
[2:48:45.060 --> 2:48:51.780]  You know what I would have been better if I mean I know the the name addition was supposed to evoke the fact that this was a special
[2:48:51.780 --> 2:48:55.220]  Edition, but they should have really just labeled it a special addition
[2:48:56.100 --> 2:48:58.660]  Like we don't know how long we're going to offer it. It's exclusive
[2:48:58.660 --> 2:49:02.340]  It's limited quantities, but we love to the process so much that we had to
[2:49:02.980 --> 2:49:05.780]  Such a brilliant way to put it that's perfect Michael. All right Matthew
[2:49:07.300 --> 2:49:09.300]  We've been podcasting too
[2:49:10.260 --> 2:49:14.340]  But yeah, I just think you would know that's a lot of the issues, you know that's perfect framing though
[2:49:14.340 --> 2:49:18.900]  That is absolutely spot-on perfect framing. We loved it so much. We've loved this
[2:49:18.900 --> 2:49:24.340]  We love this material. We wanted to share it with you, you know and that materials video if you watch the gold
[2:49:24.340 --> 2:49:25.540]  I'm sure you've watched the gold one
[2:49:25.540 --> 2:49:30.260]  I mean it is insane. They mill it out of a block of gold just like they do the aluminum
[2:49:30.500 --> 2:49:35.700]  Whereas like almost all these other watches are cast. Yeah, yeah, but yeah, it's it's a crazy process
[2:49:35.700 --> 2:49:37.700]  so they should have just
[2:49:37.620 --> 2:49:43.540]  Stood on the process which ironically is what they did like with the MacBook when they went all aluminum
[2:49:44.260 --> 2:49:48.260]  You know, they stood on top of the process and said we're charging
[2:49:48.900 --> 2:49:51.060]  This much for this thing because look at all this effort
[2:49:51.060 --> 2:49:56.180]  We put into it. Yeah, and so you could they could have done the same thing here and I think there was a missed opportunity there for them
[2:49:56.180 --> 2:50:01.940]  Just to say it's this is a separate thing. It's special. It's expensive
[2:50:02.900 --> 2:50:07.300]  All these other things do the exact same thing, but we just wanted you to see this awesome thing
[2:50:07.300 --> 2:50:12.580]  We were able to construct and we think you might enjoy it too, and if you do you can buy it for this much. Yeah
[2:50:14.420 --> 2:50:18.900]  And the last just the last bit of confusion over this is
[2:50:18.900 --> 2:50:21.860]  He did say it'll be limited limited to quantities
[2:50:22.180 --> 2:50:26.500]  And then all he said is it'll be available in select retail stores
[2:50:26.980 --> 2:50:31.940]  And that's it in terms of where now we know about these pop-up stores that if they're putting in like
[2:50:32.580 --> 2:50:34.820]  Paris and I think London to
[2:50:35.620 --> 2:50:40.340]  That are not Apple stores. They're just gonna be like standalone boutiques where you're gonna buy Apple watch
[2:50:41.300 --> 2:50:47.220]  But no explanation is what that means does that mean select Apple stores? He didn't say select Apple stores
[2:50:47.220 --> 2:50:49.220]  He said select retail stores
[2:50:49.940 --> 2:50:56.740]  And that's crazy, but it looks like it is and then further craziness. It looks like they're going to sell them on online
[2:50:58.180 --> 2:51:03.860]  Yeah, I mean it says select their select buttons right when you go to the buy watch by the additions
[2:51:04.260 --> 2:51:06.260]  So it seems like you could buy them online
[2:51:06.900 --> 2:51:13.060]  So why the select retail stores right? Yeah, and then my only my only thought is they have a limited quantity and they can only allocate
[2:51:13.060 --> 2:51:18.340]  So they're not going to send one watch to every store instead they're going to send their additions to the store
[2:51:18.340 --> 2:51:19.380]  The store in this store
[2:51:19.620 --> 2:51:27.300]  So my feeling on it and I don't know any about this, but it'll be flagship Apple stores and then retail partners that are high-end
[2:51:27.460 --> 2:51:32.900]  Like, you know, whatever Tiffany not Tiffany's but you know those high-end retailers that offer other brands goods
[2:51:35.060 --> 2:51:36.260]  Yeah, it's possible
[2:51:36.660 --> 2:51:42.260]  I doubt that they're going to do it with Tiffany, but Tiffany has sold like Rolexes in the past
[2:51:42.260 --> 2:51:45.540]  They don't right now like they I think the only watches you can get it Tiffany are Tiffany ones
[2:51:45.540 --> 2:51:51.060]  But in the past they've had Rolexes, but then but then it's like they're they're stamped on the dial like they're you know
[2:51:51.140 --> 2:51:56.980]  Collectors items because there's you know, there's a limited number of them. Right. It's a Tiffany's edition Rolex or whatever
[2:51:57.940 --> 2:51:59.940]  I wonder too
[2:52:00.500 --> 2:52:09.780]  I wonder too whether addition with these partners whether there is an as-yet undisclosed thing where they will have their own bands like a
[2:52:09.780 --> 2:52:13.620]  Like this is taught out burberry. You know that maybe
[2:52:14.660 --> 2:52:22.100]  Burberry will sell Apple watch edition in limited locations and you'll be able to get a band that's designed by a burberry instead of Apple
[2:52:23.140 --> 2:52:26.980]  Wow, I mean that would play the exclusive became even further, right?
[2:52:27.380 --> 2:52:33.700]  Yeah, and then all of a sudden Tiffany might make sense too because then maybe Tiffany would do like a Tiffany blue leather band or something
[2:52:33.700 --> 2:52:39.300]  Mm-hmm. Mm-hmm. I mean, I think it's an indubitable indubital in doubt of whatever
[2:52:39.300 --> 2:52:43.380]  It's you can't doubt. I don't know. I'm we have in podcasting for a long time
[2:52:43.460 --> 2:52:48.900]  But I don't think that there's a doubt that anybody in anybody's mind that we're gonna get third-party bands at some point, right?
[2:52:49.220 --> 2:52:54.020]  And there's some question about whether or not there's gonna be like an authorization program or not or whatever
[2:52:54.180 --> 2:53:00.340]  But we're gonna get third-party bands and I there's no way we're not gonna get high fashion third-party brands from say burberry or whatever
[2:53:00.340 --> 2:53:07.060]  But what about in conjunction with the addition? That's not something I thought of like what if they do say you can buy it at Tiffany's with the Tiffany band
[2:53:07.060 --> 2:53:11.620]  You can buy it at Burberry locations with the Burberry band that kind of thing. Yeah, yeah
[2:53:12.020 --> 2:53:15.860]  That's I don't know. I think that's so crazy though that at the March 9th
[2:53:15.940 --> 2:53:20.220]  I'm not surprised at all that they didn't you know talk much about it back in September
[2:53:20.220 --> 2:53:28.380]  But I think it's crazy that at this event that they didn't talk about where what those select retail locations are because they're not gonna have another event before this happens
[2:53:28.380 --> 2:53:35.780]  Is this the first Apple product like not accessory, but major product line that you can't buy it every Apple store?
[2:53:38.780 --> 2:53:47.100]  Yes, I cuz I don't it I can't think of anything and I don't even have like a nagging sensation that I'm forgetting something
[2:53:47.340 --> 2:53:51.500]  Because they've had special edition iPods and stuff before but in general those were just available
[2:53:51.500 --> 2:53:56.420]  You know at whatever stores until they ran out. It wasn't like oh you can only buy it these places
[2:53:56.420 --> 2:54:02.540]  Right like you two iPod or whatever. Yeah, exactly like oh this store got three of them and then you know
[2:54:02.540 --> 2:54:06.420]  We ran out so we can't reorder, but it's not you are never even offered this
[2:54:07.260 --> 2:54:09.260]  Seems like interesting precedent to set
[2:54:09.700 --> 2:54:14.380]  Yeah, very weird. I thought it was it I had you know again the pricing in and of itself
[2:54:14.380 --> 2:54:20.900]  It doesn't bother me. It doesn't make me fear for the company and doesn't but the messaging around the edition is to me
[2:54:21.540 --> 2:54:23.540]  it
[2:54:23.540 --> 2:54:28.740]  Just suggest that there's a lot they don't know much internally. They don't know what to do with it either
[2:54:30.140 --> 2:54:32.740]  Yeah, or they're up two minds of what to do. Yeah
