[00:00.000 --> 00:04.520]  In the old days if if I were gonna have a show it would we would have to be together
[02:20:16.720 --> 02:20:22.720]  I don't think that they should do that. I think that for some shows it works and for some shows it's actually robbing us of some fun.
[02:20:22.720 --> 02:20:35.720]  Yeah, and I think their stance on the matter is we have this very, this very regimented worldview of that and this is, we want people to know that all of our content is always going to be available when they sign up.
[02:20:35.720 --> 02:20:47.720]  But I do, I would bet that over time they do get more nuanced with that and they do have some shows that launch like that and some that don't and they're starting to get more into movies now and there's obviously all this sort of back and forth between theater owners,
[02:20:47.720 --> 02:21:02.720]  like some of them want to make sure that the movie is still screened in a theater for Oscar contention and whatnot and Amazon has been more amenable to that I guess and Netflix still has been very strict in saying nope has to go on Netflix, the exact moment that sort of it launches.
[02:21:02.720 --> 02:21:06.720]  And I would imagine that they have to sort of give and take a little bit on some of those things.
[02:21:06.720 --> 02:21:09.720]  So much for not spending five minutes talking about Netflix and Amazon.
[02:21:09.720 --> 02:21:18.720]  I would say this, I think Game of Thrones, I enjoy it. I enjoy it very much. I look forward to it coming back. I watch it every week.
[02:21:18.720 --> 02:21:29.720]  I would rank it as one of my favorite shows of all time. Is it top 10? I don't know. It's close. It's certainly in the top 20 but it may not be in the top 10. I'm not a huge superfan.
[02:21:29.720 --> 02:21:43.720]  But I would say this, I think it's the best show ever in the history of these modern super shows at making that weekly cliffhanger add to the show.
[02:21:43.720 --> 02:21:58.720]  I feel like it's the best. There's a bunch of shows that I've enjoyed more but Game of Thrones and I think it's partly just that they're very self-aware of their we're on Sunday night and we're going to make you talk about us Monday.
[02:21:58.720 --> 02:22:12.720]  And combined with the fact that there's like a thousand characters. So a show like Mad Men, which I would possibly argue is my all-time favorite show, it's certainly in my top two or three.
[02:22:12.720 --> 02:22:25.720]  It had a somewhat smaller number of characters and had one character who is clearly the protagonist of the story that it would have been artificial to have a cliffhanger every week.
[02:22:25.720 --> 02:22:39.720]  Most weeks, more weeks often than not, it didn't leave you dying for the next episode. And that was just the way the show was written and it was very natural to it. But Game of Thrones is really, really good at that.
[02:22:39.720 --> 02:22:44.720]  I feel like Game of Thrones that was dumped 10 episodes at once would lose so much.
[02:22:44.720 --> 02:22:56.720]  Yes, totally. And the notion used to be that you would save the cliffhanger for the season end because it's just so hard to do them week after week and Game of Thrones pulls it off better.
[02:22:56.720 --> 02:23:05.720]  Breaking Bad was pretty good about it. Then there's a handful of other shows that I think were good at it. But yeah, it's pretty incredible.
[02:23:05.720 --> 02:23:19.720]  And the fact that they do it and they had to translate it from books, right? So it's not like the books are, obviously they follow them to a certain extent, but the cliffhanger thing is just a page turn away. So it's different.
[02:23:19.720 --> 02:23:29.720]  Well, one of the books I remember having that feeling with was when I first read The Lord of the Rings, because I remember with The Lord of the Rings where the chapters would, you'd leave Sam.
[02:23:29.720 --> 02:23:30.720]  Yeah, one location.
[02:23:30.720 --> 02:23:38.720]  You'd leave Frodo and Sam and you'd go back to somebody and you'd be like, oh my god, why are we going back to them? I want to find out what happened Frodo and Sam. Geez, that's terrible.
[02:23:38.720 --> 02:23:43.720]  And then all of a sudden, three pages later, forget about Frodo and Sam, you're with these other guys.
[02:23:43.720 --> 02:23:48.720]  And that is what the Game of Thrones books do as well. They focus on one individual storyline.
[02:23:48.720 --> 02:24:03.720]  And I love those books. Who doesn't love those books? But part of the brilliance of the structure was the way that every single chapter I was desperate to keep going with who I was with and was very upset to go back to these other characters.
[02:24:03.720 --> 02:24:09.720]  But then three pages later, I'm all totally into them. And I feel like Game of Thrones has that in TV.
[02:24:09.720 --> 02:24:21.720]  I can't believe, I know they're going to pull it off, but I really can't believe that they're going to pull off like finishing the whole series before even the next book, you know, there's still two more books to come.
[02:24:21.720 --> 02:24:35.720]  And I think they're going to finish the series before even the next book comes. And it's just incredible. Like, you would have thought like this would have been the ultimate logistical nightmare when you're sort of pitching the show, right?
[02:24:35.720 --> 02:24:42.720]  Like, what's the worst that could happen? Well, we could not have sort of know what the ending is going to be because the other books haven't come out yet.
[02:24:42.720 --> 02:24:47.720]  Oh, come on. That's, you know, a decade away. Of course, we're going to have those. And nope, we're not going to have them.
[02:24:47.720 --> 02:24:53.720]  I don't know. I don't know how that doesn't make any sense to me. I haven't read the books, though. So I don't I don't really care.
[02:24:53.720 --> 02:25:02.720]  It's just insanely impressive of the showrunners of that show that they're able to sort of land the ship without having the infrastructure you would think to do so.
[02:25:02.720 --> 02:25:08.720]  Yeah. I wonder if that's going to really hurt the show. I wonder how much they depend on that.
[02:25:08.720 --> 02:25:14.720]  I don't know. It's it's it is actually unprecedented to know what would what will end up happening with that.
[02:25:14.720 --> 02:25:20.720]  Like, do they because they say the show's only going to. So this coming season, which I think starts in July, is going to be slightly truncated, right?
[02:25:20.720 --> 02:25:28.720]  It's going to be, I think, seven, six or seven episodes, not 10. And then they're going to split that into the next season, which will also be a truncated season.
[02:25:28.720 --> 02:25:34.720]  And that's the end. Really? But do that's that's what the word is right now.
[02:25:34.720 --> 02:25:43.720]  I don't know if they're going to change that at all. Do they end up doing something like, you know, ending it with a with a movie in a few years or something like that?
[02:25:43.720 --> 02:25:47.720]  But as of right now, I think the plan is just two more seasons, two more shortened seasons.
[02:25:47.720 --> 02:25:53.720]  I don't know. I don't know how they're going to do it. I look forward to it, though. All right. M.G., thank you so much for your time.
[02:25:53.720 --> 02:25:56.720]  It's always good to have you on the show. Yes, thank you.
[02:25:56.720 --> 02:26:02.720]  I will see you soon. And everybody can catch you on Twitter. What's your Twitter handle?
[02:26:02.720 --> 02:26:04.720]  At M.G. Seigler.
[02:26:04.720 --> 02:26:11.720]  At M.G. Seigler. And you're the place where they can catch the writing. Is it all your writing or just most of your writing?
