[00:00.000 --> 00:03.000]  You know, I can't believe I missed the holiday party again.
[02:30:47.000 --> 02:31:07.000]  I think it's because Tim Cook in his gut knows to defer to Johnny Ive. Technically, ultimately it would be Tim Cook's decision as the CEO that the power resides in the CEO, but that I think within Apple's culture, Johnny Ive gets to make the product decisions in a similar way that Steve Jobs did.
[02:31:07.000 --> 02:31:23.000]  Even though his title is not CEO, like Johnny Ive wasn't going to be named CEO in a legal way and make, you know, actually make it his title because it's absolutely positively, there are aspects of being CEO that he absolutely simply doesn't want to do.
[02:31:23.000 --> 02:31:44.000]  And in fact, some of those aspects like of managing people and direct, it actually, him being promoted as chief design officer and having two lieutenants directly below him actually made him less like the CEO of just the design group, that he's more like chairman of the design group.
[02:31:44.000 --> 02:31:56.000]  Yeah, he's kind of like, yeah, and you could say he's kind of the head of product in a really grand scale. I'll give you an example from my life is for whatever, you know, decade plus I was the editor in chief of Macworld.
[02:31:56.000 --> 02:32:04.000]  That means that if I want the cover to say something and look a certain way, I get to decree that right, like Tim Cook being the CEO.
[02:32:04.000 --> 02:32:17.000]  But, you know, I had a really good art director named Rob Schultz for many, many years and he and I would work on these cover designs and, you know, I would come up with lots of wacky ideas and some of them he would be like, no, that's not.
[02:32:17.000 --> 02:32:21.000]  Or we'd get, we'd have nine sample covers and I'd say, I kind of like number three.
[02:32:21.000 --> 02:32:25.000]  And then he and my executive editor would be like, no, number three is not so good.
[02:32:25.000 --> 02:32:28.000]  Number five is the one I'd be like, all right, well, you know, I'm going to go with you.
[02:32:28.000 --> 02:32:36.000]  And again, I could say, nope, dammit, it's going to be number three, but I feel like Tim Cook maybe is that way with product and design, right?
[02:32:36.000 --> 02:32:38.000]  That he's got people to lean on.
[02:32:38.000 --> 02:32:42.000]  He's got Phil Schiller to work with on product and marketing, but he's got Johnny.
[02:32:42.000 --> 02:32:49.000]  And if Johnny says, got to do the jet black, like, you could say no, but are you going to say no to Johnny Ive?
[02:32:49.000 --> 02:32:53.000]  Like, I wouldn't, it would take a lot for me to say no to my art director.
[02:32:53.000 --> 02:32:57.000]  And I'm sure it would take way more than that for Tim Cook to say no to Johnny Ive.
[02:32:57.000 --> 02:33:08.000]  And that's not that Tim Cook's powerless and it's not that Johnny Ive always makes the right decisions, but he's much more likely to be right than Tim Cook.
[02:33:08.000 --> 02:33:11.000]  And Tim knows it about some decisions.
[02:33:11.000 --> 02:33:13.000]  And so that's perfectly reasonable.
[02:33:13.000 --> 02:33:24.000]  Because he's not forward facing and because he's not on stage and because he's clearly not as hands-on involved with the day-to-day design of the actual products as he used to be.
[02:33:24.000 --> 02:33:33.000]  Or if he is, there are these products that even the typical Apple employees who maybe have a sense that he's fading away wouldn't even know.
[02:33:33.000 --> 02:33:49.000]  Because all he's doing is working on the architecture of the retail stores, which someone who works in the hardware design group for the Macs feels like Johnny is putting less input into it.
[02:33:49.000 --> 02:33:55.000]  Well, you'd have no idea because he's off somewhere else designing tables for Apple stores.
[02:33:55.000 --> 02:34:03.000]  I'm not sure. I'm not saying I'm betting on that. I wouldn't be surprised if a year from now they say Johnny Ive is retiring and moving to England.
[02:34:03.000 --> 02:34:16.000]  And taking a chief design officer emeritus title with him, still technically some part of Apple, but he's emeritus and he's not involved on a day-to-day.
[02:34:16.000 --> 02:34:24.000]  And I wouldn't be surprised the other way, if he's as engaged as ever, but on other things.
[02:34:24.000 --> 02:34:30.000]  Moving forward, like architecture now, maybe a car five, six years from now, etc.
[02:34:30.000 --> 02:34:35.000]  Yeah, it'll be interesting to see what happens with him.
[02:34:35.000 --> 02:34:47.000]  I feel like we've reached the point with Johnny Ive where if he wants to go do other things, nobody would say that he's wrong to do so.
[02:34:47.000 --> 02:34:52.000]  It does feel like he's sort of done everything he can on one level. He's conquered everything.
[02:34:52.000 --> 02:34:59.000]  And also, I don't think I would feel like he's been there so long.
[02:34:59.000 --> 02:35:06.000]  I mean, he's been there since the E-Mate, for Pete's sake. He's been there so long that I'm not sure I would be like,
[02:35:06.000 --> 02:35:11.000]  oh no, what will Apple do without Johnny Ive at this point? I'm sure some people would.
[02:35:11.000 --> 02:35:18.000]  Apple is doomed because Johnny Ive is leaving stories. But I feel like not only has he built a culture, like Steve Jobs built a culture,
[02:35:18.000 --> 02:35:24.000]  but new people have new ideas and we've had Johnny's ideas for 20 years now.
[02:35:24.000 --> 02:35:30.000]  It would be a big one and probably the second biggest that there ever was, but it's not going to be the biggest.
[02:35:30.000 --> 02:35:39.000]  Apple's not going to be the same without blank. So we've been through one that is so much bigger than the next three combined.
[02:35:39.000 --> 02:35:44.000]  And again, maybe they're not the same and they shouldn't be the same because if they were the same, what's the Dylan lighting?
[02:35:44.000 --> 02:35:47.000]  He that's not busy changing is busy dying.
[02:35:47.000 --> 02:35:56.000]  And Steve, you know, I think part of this era is the continuity with Steve, like with Steve leaving, with Steve dying.
[02:35:56.000 --> 02:36:05.000]  I mean, he left and then he passed away. But with that whole period, Apple needed to show that it was still in business and still knew what it was doing.
[02:36:05.000 --> 02:36:10.000]  And so like presence of Johnny Ive is super important. Steady hand of Tim Cook, super important.
[02:36:10.000 --> 02:36:19.000]  It's been a few years now, right? I mean, we're passing through that phase of reassure us that Apple's not going to totally crash and burn without Steve there.
[02:36:19.000 --> 02:36:26.000]  And we can debate and people will still argue that Apple completely lost it after Steve left. Fair enough, whatever, we can debate that.
[02:36:26.000 --> 02:36:37.000]  But I feel like on a very large scale, Johnny Ive leaving today would not be the freak out that it would have been six months after Steve Jobs died.
[02:36:37.000 --> 02:36:42.000]  I think that's exactly true. And, you know, I think this book is a very possible sign that it might happen.
[02:36:42.000 --> 02:36:51.000]  I think the next canary in a coal mine would be an Apple event without a Johnny Ive narrated video.
[02:36:51.000 --> 02:37:01.000]  Sometimes I feel like that's his minimum involvement is he may be off driving cars at a test track somewhere in the world, but he comes back for the videos.
[02:37:01.000 --> 02:37:09.000]  I'm just telling you, if you and I are sitting there next to each other in one of these events next year, maybe next year, maybe next time we see each other, we'll be on the new campus.
[02:37:09.000 --> 02:37:20.000]  We're there in March and you're there typing away and I'm scribbling in my notebook and a video comes up and it's narrated by somebody else.
[02:37:20.000 --> 02:37:25.000]  I'm going to look at you and you're going to go, hmm.
[02:37:25.000 --> 02:37:33.000]  I also have a correction to make the Dylan line. I can't believe I botched it. It's he not busy being born is being is busy dying.
[02:37:33.000 --> 02:37:38.000]  And I can't you can't have a misquoted Bob Dylan lyric stand.
[02:37:38.000 --> 02:37:42.000]  Not when not within two minutes of mentioning Steve Jobs.
[02:37:42.000 --> 02:37:51.000]  If there's ever any way to haunt me, if he's going to spook me beyond the grave, it would be botching a botching a Dylan line.
[02:37:51.000 --> 02:37:58.000]  All right. Let me thank our sponsors for the show today. Backblaze go to backblaze dot com slash during Fireball Harry's.
