[00:00.000 --> 00:03.180]  There's a lot going on. Yeah, it's good time to be us
[02:11:37.820 --> 02:11:39.820]  It sounds like
[02:11:40.700 --> 02:11:44.500]  They've never invested in it it's perplexing yeah, it's it
[02:11:45.580 --> 02:11:47.580]  and I remember when they had
[02:11:47.940 --> 02:11:50.500]  It was you knew I knew the writing was on the wall
[02:11:50.500 --> 02:11:56.200]  And I'm a I'm a tweet bot user myself both Mac and iOS so part of it
[02:11:56.200 --> 02:12:00.700]  I'm not too concerned. You know because my use of Twitter isn't that affected
[02:12:02.100 --> 02:12:06.100]  But I would like to see that the native Twitter app be as good as possible
[02:12:06.100 --> 02:12:08.100]  Just
[02:12:09.340 --> 02:12:12.460]  On general principle and you realize that that's what most people are going to use
[02:12:12.500 --> 02:12:15.820]  but I knew the writing was on the wall when they added the
[02:12:16.820 --> 02:12:20.320]  The notification support for Twitter stuff in the system
[02:12:20.940 --> 02:12:26.520]  Multiple versions ago yeah, and when you'd click on it even if you had the Twitter Mac app installed
[02:12:26.520 --> 02:12:33.300]  It would open in the twitter.com website. Yeah, I remember asking about Apple about that, and they were like well
[02:12:33.300 --> 02:12:38.380]  That's off the record. That's what Twitter wanted yeah, like it wasn't Apple's decision
[02:12:38.380 --> 02:12:42.620]  It was Twitter's so even if you had the Mac app, and you opened like a DM notification
[02:12:42.620 --> 02:12:46.420]  It would open the DM in in the website even though you have their app installed
[02:12:47.500 --> 02:12:49.740]  Yeah, and even I used to keep out all the time, too
[02:12:49.740 --> 02:12:55.420]  But they keep changing Twitter just in ways that degrade the experience like they can no longer just pull up a thread anymore
[02:12:55.420 --> 02:12:59.780]  You have to do all these complex moves try to reassemble the thread and sometimes it doesn't work
[02:12:59.780 --> 02:13:02.460]  So you can't even see replies to your own message sometimes
[02:13:02.460 --> 02:13:08.980]  It's just and it's so frustrating yeah, it's like I don't know I'd still use it
[02:13:08.980 --> 02:13:15.260]  But yeah for like reading a thread especially a thread with that's even just a day or two old like so like that the
[02:13:15.620 --> 02:13:20.420]  Because they can't just pull up the thread they only can show the messages in the thread that they already have cached
[02:13:20.820 --> 02:13:27.580]  Yeah, and so if you're somebody is showing you a tweet from somebody you don't even follow you have to go to the website or
[02:13:27.740 --> 02:13:32.100]  Twitter dot app yeah, you know anyway. I just don't think it's a great app
[02:13:32.100 --> 02:13:34.740]  I don't think it's a great selling point of catalyst
[02:13:35.260 --> 02:13:38.940]  But it's you know maybe overall. It's better than I feared
[02:13:38.940 --> 02:13:43.620]  I guess that's my take so far on catalysts is that it seems like it's better than I feared
[02:13:44.620 --> 02:13:47.860]  I think the potentials there. I think apples
[02:13:47.860 --> 02:13:54.860]  I think the biggest question I have isn't whether catalyst is is a good or bad idea in principle it is
[02:13:55.420 --> 02:14:00.940]  Why did they decide it was worth shipping when they did because I don't think it's even this year
[02:14:00.940 --> 02:14:02.780]  I feel like it's a little iffy and
[02:14:02.780 --> 02:14:08.860]  An awful lot of the apps that are the best examples of it seem to have to jump out of UI kit into app kit
[02:14:08.860 --> 02:14:12.740]  Which seemingly defeats the whole purpose of doing it in the first place?
[02:14:14.220 --> 02:14:15.780]  Yeah, well this year in general
[02:14:15.780 --> 02:14:22.560]  I feel like last year was such a good balance of new features and going back and just maintaining on like you know paying down
[02:14:23.620 --> 02:14:26.460]  Foundational debt yeah, and this year it feels like they tried to catch up
[02:14:26.460 --> 02:14:33.060]  And it was just too much, and we've seen that just splatter all over the releases recently, and I you know and they
[02:14:33.780 --> 02:14:36.140]  Probably thought you know they would get all of this stuff done
[02:14:36.140 --> 02:14:37.340]  I don't know how they thought that
[02:14:37.340 --> 02:14:40.020]  But I hope we can just I think last year was a much better pace
[02:14:40.020 --> 02:14:41.660]  And if we could just stick to that pace
[02:14:41.660 --> 02:14:43.580]  We won't get as many new features every year
[02:14:43.580 --> 02:14:46.780]  But the ones that we do get will be better and the older ones will be maintained better
[02:14:46.780 --> 02:14:49.620]  And I think that's just a much better plan going forward
[02:14:49.620 --> 02:14:55.100]  Uh yeah, I hope so it's it is an interesting year-over-year
[02:14:56.180 --> 02:14:59.060]  Difference where it really was did seem like last year's hey
[02:14:59.060 --> 02:15:05.620]  We're focused on performance you know and bug fixing and making stuff smaller and just more reliable and working you know
[02:15:06.020 --> 02:15:09.020]  Getting this older you know if we support five years back
[02:15:09.020 --> 02:15:14.980]  We want this a version of iOS on a five-year-old phone to still run great and they did it and it was like wow
[02:15:14.980 --> 02:15:16.980]  This is unbelievable and then the next year
[02:15:16.980 --> 02:15:24.260]  Probably the I don't know inarguably inarguably is too strong a word, but by consensus the buggiest year in recent memory
[02:15:25.140 --> 02:15:29.540]  And a lot of thought again. I was I also have this thinking that instead of announcing
[02:15:29.540 --> 02:15:35.060]  This is what we're shipping for iOS 13. This is what we're shipping for Catalina. This is the next year of iOS
[02:15:35.060 --> 02:15:40.340]  This is the next year of Catalina and take the pressure off having to ship everything in September and if some stuff comes off in
[02:15:40.340 --> 02:15:44.900]  October if some stuff comes up in September in December if some stuff ships in March
[02:15:44.900 --> 02:15:50.660]  That's fine. Yeah, this is what you're gonna get. It's a roadmap for the next year. Yeah, and I would like to see it
[02:15:50.660 --> 02:15:52.660]  I I would really like to see
[02:15:53.780 --> 02:15:55.140]  Mac OS in particular
[02:15:55.140 --> 02:15:57.860]  I really don't feel like needs an annual update
[02:15:58.100 --> 02:15:58.500]  Yeah
[02:15:58.500 --> 02:16:02.820]  And I don't know how that now that they've gotten into that pattern and it seems it seems like
[02:16:03.060 --> 02:16:07.300]  Somebody at Apple is gonna listen to me say this and they're gonna say well we there's no way we could make you happy
[02:16:07.700 --> 02:16:11.860]  Because you know maybe a few years ago when they weren't on an annual update people
[02:16:11.860 --> 02:16:16.500]  Maybe even me in particular. We're complaining that the Mac wasn't getting updated frequently enough. I I
[02:16:17.300 --> 02:16:22.900]  I'm less audacious updates like make sure the whatever features you need to be parallel with iOS do that
[02:16:22.900 --> 02:16:25.780]  But don't you don't have to do I'll be happy with five amazing things
[02:16:25.780 --> 02:16:30.500]  I don't need ten things that are struggling to ship right to me the stuff that I only thing
[02:16:30.820 --> 02:16:36.020]  I get it that iOS is on an annual update because the hardware is on an annual update right and and that's
[02:16:36.260 --> 02:16:39.780]  Important to Apple financially right now and it's important in the competitive landscape
[02:16:39.780 --> 02:16:42.820]  It's just cell phones are you know, they're just so
[02:16:43.460 --> 02:16:45.860]  They're just so big so much bigger than everything else
[02:16:46.500 --> 02:16:49.540]  and so if there's a new iPhone every September and are really
[02:16:51.220 --> 02:16:56.020]  You know, of course technically if they didn't have an iPhone next year in September
[02:16:56.020 --> 02:16:58.420]  It wouldn't be the end of the world for the company
[02:16:58.420 --> 02:17:03.060]  But it would certainly be bizarre and a sign that something had gone terribly wrong
[02:17:03.380 --> 02:17:09.540]  so there you know for some definition of has to there has to be a new iPhone every September and if you have a new iPhone
[02:17:09.540 --> 02:17:12.920]  And if there has to be a new iPhone every September there has to be a new version of iOS
[02:17:13.620 --> 02:17:21.700]  And it would be really really hard to separate just the hardware specific stuff that requires a new version from the feature related stuff
[02:17:23.940 --> 02:17:28.180]  But it just bleeds over to now if we're going to do a Mac OS version 2
[02:17:28.820 --> 02:17:31.300]  All of the new features that are Mac specific
[02:17:32.100 --> 02:17:35.640]  We have to do at the same time that we do the features like sidecar
[02:17:35.640 --> 02:17:40.200]  Which yeah, obviously by definition needs the Mac to go
[02:17:40.760 --> 02:17:47.240]  To get new stuff in in addition to the iOS stuff at the same time the new reminders has to sync between iOS and Mac OS
[02:17:48.040 --> 02:17:50.040]  I would like to see them just
[02:17:50.760 --> 02:17:57.560]  Put the Mac on the annual update cycle just for those features that have to be updated to keep pace with iOS
[02:17:57.720 --> 02:17:59.720]  And let the other stuff on the Mac
[02:17:59.720 --> 02:18:05.080]  Take as much time as it takes to get right and just let the Mac as the more mature
[02:18:05.080 --> 02:18:09.720]  You know by however, you want to define it. It's decades old platform, you know
[02:18:10.600 --> 02:18:15.240]  Let it be the mature platform that it is that doesn't need to change radically or
[02:18:16.640 --> 02:18:21.600]  Radically is the wrong word, but doesn't need to change it as fast at paces as a mobile operating system does
[02:18:22.080 --> 02:18:24.680]  Yeah, no totally agreed and even with iOS
[02:18:24.680 --> 02:18:32.560]  I mean we get already some features don't come until the point one release like the new emoji and things like portrait mode and
[02:18:32.560 --> 02:18:39.680]  and deep fusion just make that the norm know exactly what you can ship in September and then have other features because they're gonna do
[02:18:39.680 --> 02:18:46.640]  An update in March anyway, so just stage out those features and we'll be fine. Yeah. Yeah, I totally agree and
[02:18:47.280 --> 02:18:53.280]  Hopefully I you know, I can't imagine that internal to Apple. There's not going to be some sort of you know
[02:18:53.720 --> 02:18:56.880]  Hey, let's let's do a post op on you know
[02:18:56.880 --> 02:19:02.160]  Yeah, but let's make sure a post modem on this and figure out where did we go wrong? How early?
[02:19:02.160 --> 02:19:04.160]  How do we detect it next year? How do we better?
