[00:00.000 --> 00:04.640]  So where to start I say we let's just talk about Renee Ritchie. Let's talk year in review. Yes
[02:12:03.020 --> 02:12:08.940]  It's an interesting problem to solve and I think you know, I use pcalc the widget all the time I I bear sorry James
[02:12:08.940 --> 02:12:14.540]  I barely launch pcalc anymore because a widget is just enough almost all the time and I use drafts and I use transmit
[02:12:14.540 --> 02:12:17.820]  And I love all these features and i'm happy that apple reversed the stuff
[02:12:17.980 --> 02:12:23.980]  I just think that you like it's worth breaking down the process that happens because the more you understand it did drafts get everything back
[02:12:23.980 --> 02:12:25.020]  Yes
[02:12:25.020 --> 02:12:29.980]  Well, I did I wasn't aware of that. I knew that they that they had had some, you know, the same type of issues
[02:12:29.980 --> 02:12:30.860]  Yeah, well, that's good to know
[02:12:30.860 --> 02:12:33.900]  The only thing that was rejected outright was the the app launcher
[02:12:34.300 --> 02:12:39.260]  Because absolutely doesn't believe that other things should launch apps and the guy who tried there was a rule that says you couldn't have keyboards
[02:12:39.260 --> 02:12:43.820]  In widgets, so the guy basically drew his own instead of invoking the built-in one and that was still rejected
[02:12:44.140 --> 02:12:49.340]  Yeah, I think it comes down to my I forgot I was arguing earlier where it's you have to err on one side or the other
[02:12:49.580 --> 02:12:53.100]  And that at least with ios apple's going to be able to do that
[02:12:53.100 --> 02:12:57.100]  at least with ios apple is going to continue to err on this side of
[02:12:59.500 --> 02:13:01.500]  Being a little too strict
[02:13:01.900 --> 02:13:03.500]  and
[02:13:03.500 --> 02:13:08.380]  You know the side effect of that like the benefit of that is that
[02:13:09.260 --> 02:13:10.700]  uh
[02:13:10.700 --> 02:13:14.700]  Abusive software isn't going to is less likely to slip through. Yeah
[02:13:15.180 --> 02:13:20.620]  The downside to it is like you said sometimes it's going to take some ugly airing of
[02:13:20.620 --> 02:13:25.020]  Dirty laundry public airing of dirty laundry to get it to get it sufficiently
[02:13:25.420 --> 02:13:29.660]  You know looked at by a high enough level person and I think I don't want to call it a problem
[02:13:29.660 --> 02:13:35.260]  But I think the sign of the change is that you know, craig federik, he skews more towards geeky than scott forestall
[02:13:35.260 --> 02:13:37.260]  I mean it was hard to get airdrop
[02:13:37.260 --> 02:13:41.500]  Uh on on the iphone and now we have you know extensibility and and continuity
[02:13:41.820 --> 02:13:45.340]  And app store review hasn't changed the way software development has changed, you know
[02:13:45.340 --> 02:13:51.740]  They're they're still very much the organization. They were back in the forest all year and there's going to be some tension
[02:13:52.060 --> 02:13:54.300]  Until that's worked out as we get geekier features. We're gonna
[02:13:54.940 --> 02:13:58.060]  The the iphone was not made for geeks. It was made for app for mainstream people
[02:13:58.060 --> 02:14:01.420]  It was a smartphone that everybody could use but you know geeks loved it as well
[02:14:01.500 --> 02:14:05.180]  And now it's becoming a phone that that works great for geeks because of these features
[02:14:05.420 --> 02:14:08.620]  And I think app app review is going to have to evolve the way the software has
[02:14:09.340 --> 02:14:11.340]  Yeah, totally agree
[02:14:11.900 --> 02:14:13.020]  Um
[02:14:13.020 --> 02:14:16.460]  All right. I think that's our catches up. I think that's our year in review. Good year
[02:14:17.180 --> 02:14:18.700]  Yeah, it was
[02:14:18.700 --> 02:14:25.180]  Uh excited about next year. Oh, i'm I can't wait everything from the apple watch to the theoretically larger ipad to the new features
[02:14:25.260 --> 02:14:30.460]  We'll see with it. I'm an ios 9. I it's I think it's gonna be a great year. I think it's good
[02:14:30.540 --> 02:14:31.420]  I think
[02:14:31.420 --> 02:14:34.140]  One thing is for sure. I think one thing when we if we look back
[02:14:34.860 --> 02:14:36.860]  A year from now in 2015. I think
[02:14:37.180 --> 02:14:41.180]  The first half of 2015 is going to be a lot more interesting than the first half of 2014
[02:14:41.180 --> 02:14:45.020]  Yeah, it's going to harken back. I think to the first year. I wouldn't be surprised if the first year
[02:14:45.580 --> 02:14:48.700]  The first part of 2015 is very similar to the first part of 2010
[02:14:48.780 --> 02:14:53.580]  And the i watch is similar to the launch of the original ipad. Yeah, I do because I have you know
[02:14:54.300 --> 02:14:58.300]  Just off the top of my head. I expect both the bigger ipad and the watch in the first half
[02:14:58.620 --> 02:15:03.980]  Yeah, maybe whether they come at the same event or not. I don't know but you know, I think they're both coming sort of
[02:15:05.260 --> 02:15:08.060]  I just don't know if the apple tv will come with them or if that's still in the garage
[02:15:08.060 --> 02:15:14.960]  You know, honestly no idea wouldn't be surprised. It would be huge if they did all three in the first half. That'd be almost unprecedented
[02:15:15.820 --> 02:15:16.780]  and
[02:15:16.780 --> 02:15:18.220]  it just
[02:15:18.220 --> 02:15:22.380]  As i'm not to try to you know air on the side of getting too excited
[02:15:22.540 --> 02:15:26.880]  But it would kind of make sense in the context of tim cook's previous
[02:15:27.980 --> 02:15:29.980]  you know
[02:15:29.980 --> 02:15:35.820]  Maybe over promising of what they were going to deliver in 2014 that some of these things, you know, maybe got bumped, you know
[02:15:35.820 --> 02:15:37.420]  you know apple pay and
[02:15:39.420 --> 02:15:44.460]  Apple watch count as the plural new product categories
[02:15:46.620 --> 02:15:52.860]  But it does seem like when he first started talking about that I expected a little bit more like maybe one more thing for 2014
[02:15:53.100 --> 02:15:56.460]  Yeah, well, I think I don't know if you heard the same thing I did but the apple tv sounded like last spring and then
[02:15:56.460 --> 02:16:01.100]  It sounded like this fall and then it sounds like next spring and it sounds like that's that's a bigger job than people thought
[02:16:01.100 --> 02:16:03.100]  It was originally going to be
[02:16:03.100 --> 02:16:07.820]  Yeah, I definitely heard back at june and wwdc that it it was
[02:16:09.500 --> 02:16:14.540]  Maybe originally thought that it would come out before the end of 2014 but even back at june it was no way
[02:16:14.540 --> 02:16:19.740]  It's not even not even feasible for it to be a 2014 thing and good i'm happy if they I mean
[02:16:19.740 --> 02:16:24.140]  I I liked it when apple had products spread across the year. I find everything coming in fall just quite a lot to deal with
[02:16:24.860 --> 02:16:29.740]  Yeah, well and the other thing too that I think made it impossible and it's not even to get in any details of it
[02:16:29.740 --> 02:16:34.620]  It's not even to get in any details of it, but it's just the simple fact that if it doesn't ship by october
[02:16:34.700 --> 02:16:40.780]  It doesn't ship that year. Yes that november and december don't count because they can they're just too late for the holiday season
[02:16:41.100 --> 02:16:47.440]  Absolutely that if it can't be announced in october, it doesn't get announced till 2015 and it doesn't get announced 2015
[02:16:47.980 --> 02:16:52.620]  It's probably like more like february than january. Yeah, and we we'd start to see signs already
[02:16:52.620 --> 02:16:55.980]  I mean if any of those products were like january february we'd start seeing things moving
[02:16:55.980 --> 02:17:02.540]  Yeah, like november december january. Not that apple doesn't get work done, but products don't get slated for release in those months
[02:17:03.420 --> 02:17:08.940]  All right renee more people can find out more see your great work at i'more. Of course i'more.com
[02:17:09.740 --> 02:17:13.420]  What are your podcasts list your podcasts? I have debug with guy english
[02:17:13.420 --> 02:17:18.940]  We talk to developers about developing stuff and then I have vector with guy english dave whiskus and georgia dow
[02:17:18.940 --> 02:17:24.700]  We talk about the intersection of technology and humanity and I do iterate with mark edwards and seth clifford, which is designer oriented stuff
[02:17:24.700 --> 02:17:29.340]  Who do you think is going to record more podcast episodes in 2015 you or jason snow?
[02:17:30.140 --> 02:17:35.820]  I I it's it's neck and neck but I love that or maybe mike hurley. I mean it's it's becoming a it's becoming a bit of a
[02:17:36.380 --> 02:17:38.380]  of a joke, I guess
[02:17:40.140 --> 02:17:46.780]  They're all good shows you're prolific I like here's why I like having you on this show because I feel like on your regular shows
[02:17:47.100 --> 02:17:52.780]  You defer to your guests and sometimes I forget that you're you're even there. I'm like, where'd renee go?
[02:17:52.780 --> 02:17:55.820]  I'd like to hear renee piping. You are so deferential
[02:17:55.820 --> 02:18:01.660]  I like having you here and letting you go off because man, you really know your shit. Thank you. I really appreciate that
[02:18:02.220 --> 02:18:03.580]  All right
[02:18:03.580 --> 02:18:05.580]  well, thanks to you and
[02:18:05.580 --> 02:18:23.180]  Go check out renee's shows and go read i'mar. Thank you. John. All right, i'm hitting stop
