[00:00.000 --> 00:02.000]  Uh, here we are. We're recording on
[02:14:12.520 --> 02:14:17.240]  Thing about that that I can think of is I can't think of another big splashy name other than jay carney
[02:14:17.880 --> 02:14:25.960]  Yeah, who else? I don't know maybe someone from a startup or something like the weird the weird world of pr in general is that
[02:14:26.600 --> 02:14:28.760]  Pr people stay under the radar
[02:14:29.400 --> 02:14:33.640]  Yeah, you know and that there aren't you know, like maybe like inside base?
[02:14:33.640 --> 02:14:37.640]  Ball, there's big names and if you work in pr, you'd be like wow, they got so and so
[02:14:38.200 --> 02:14:44.920]  But from the outside jay carney who was the you know, the white house, um, press what do they call his press secretary? Yep
[02:14:45.960 --> 02:14:51.160]  Is the only big name that I even saw tossed about as a maybe and that certainly would have been a big get
[02:14:51.160 --> 02:14:54.120]  But other than him, I can't think of anybody else who it would have even been
[02:14:54.360 --> 02:14:59.880]  Yeah, I don't know but they I guess it would be fair to say like they did their due diligence to try to find someone
[02:14:59.880 --> 02:15:03.800]  new from out of the company. It wouldn't be a great move to just promote
[02:15:04.440 --> 02:15:09.640]  Steve dowling without looking elsewhere first they need to be tactical about these types of things especially
[02:15:10.280 --> 02:15:13.080]  Exiting a regime that existed for 15 years
[02:15:14.840 --> 02:15:17.880]  Yeah, and I think the other thing too that you just it
[02:15:18.520 --> 02:15:24.440]  It just cannot be emphasized enough was how much that katie cotton and steve jobs were
[02:15:24.440 --> 02:15:32.680]  Like had like the symbiotic relationship, you know that that she was as much steve jobs as press representative as she was apples
[02:15:33.080 --> 02:15:37.080]  and that it that's not necessarily a bad thing because they were
[02:15:37.640 --> 02:15:41.560]  You know steve jobs and apple were so intertwined in the public eye. Yeah
[02:15:42.680 --> 02:15:48.360]  Like she even did all the press stuff for when steve jobs, uh sold um, pixar and disney
[02:15:48.920 --> 02:15:50.920]  That was an apple
[02:15:50.920 --> 02:15:56.360]  Right, so steve right and you know and according to um, the becoming steve jobs book
[02:15:56.360 --> 02:16:03.880]  She was one of only four apple people who were at his you know, private funeral right her q cook and
[02:16:06.200 --> 02:16:12.440]  Who's the fourth one johnny johnny, of course johnny, yeah, no forced all yeah and no shiller
[02:16:12.440 --> 02:16:17.160]  No, I mean, there's all sorts of people who who you know clearly worked with them a long time ago
[02:16:17.160 --> 02:16:22.200]  I mean, there's all sorts of people who who you know clearly worked with them a long time, but it was a very very short list
[02:16:22.360 --> 02:16:26.280]  John, you overlooked johnny because it was so obvious, right? Right, right. I saw that though
[02:16:26.280 --> 02:16:30.600]  I don't think the the book broke that as great as the book was I read it in your uh, your post-on
[02:16:30.680 --> 02:16:35.560]  That was great. But oh, I thought that was I thought that was I thought that was news because his family, you know
[02:16:35.560 --> 02:16:37.560]  the private family thing was
[02:16:37.720 --> 02:16:38.680]  so
[02:16:38.680 --> 02:16:42.360]  So private no. Yeah, but I remember reading that in the journal. Oh
[02:16:42.360 --> 02:16:47.240]  Back when 2011 or so, I believe well, I could be wrong, but I didn't know
[02:16:50.120 --> 02:16:52.120]  I
[02:16:52.120 --> 02:16:55.400]  Uh before we go it's while we're still on the subject of katie, uh
[02:16:56.120 --> 02:17:00.760]  When I interviewed brent, uh schlender and and bruce tazzini
[02:17:01.560 --> 02:17:07.400]  Ted tazzelli, uh the authors of becoming steve jobs when I did the event at the apple store, uh in new york
[02:17:08.040 --> 02:17:10.040]  a couple months ago
[02:17:10.040 --> 02:17:12.120]  Um, I did a little you know
[02:17:12.680 --> 02:17:14.680]  interview with them in front of the the crowd
[02:17:15.320 --> 02:17:16.280]  um
[02:17:16.280 --> 02:17:22.520]  I asked them because they did get I forget who the list of people who were associated with apple who they got interviews with
[02:17:22.920 --> 02:17:25.240]  But it's you know, there's tim cook. Um
[02:17:26.840 --> 02:17:27.960]  Uh
[02:17:27.960 --> 02:17:31.400]  avi, you know who's not there anymore, but but you know clearly, you know
[02:17:32.200 --> 02:17:34.920]  Had the permission from apple to talk to them and katie
[02:17:34.920 --> 02:17:40.680]  And so they had like a whole sit-down interview with katie cotton and there's one sentence from her in the book
[02:17:43.240 --> 02:17:45.720]  And they but I asked about it and they both laughed
[02:17:46.760 --> 02:17:51.640]  and and the gist was that you know, you could take katie cotton out of apple, but
[02:17:52.120 --> 02:17:57.400]  It doesn't change her take on the press like she gave them nothing. That's funny. That is funny
[02:17:58.680 --> 02:18:01.020]  It was like one sentence and it was like totally innocuous
[02:18:01.020 --> 02:18:06.700]  Well, anyway, we've been going on long enough this has been great I think that everybody is now well prepared for
[02:18:07.260 --> 02:18:08.620]  Wwdc
[02:18:08.620 --> 02:18:13.820]  Uh mark german, I thank you. I will link to probably the best thing I can link to is your
[02:18:14.440 --> 02:18:17.740]  Pre-wwdc wrap-up posts because you're you keep updating that right?
[02:18:18.300 --> 02:18:22.540]  Uh, no, we posted a new one this morning that it's one post that has everything
[02:18:22.540 --> 02:18:25.180]  All right. I will link to that in the show notes
[02:18:25.740 --> 02:18:29.020]  Appreciate it. And then if anything breaks over the weekend, you'll update that same post. Yes
[02:18:29.020 --> 02:18:32.460]  All right, that's great
[02:18:33.340 --> 02:18:37.340]  And people can read you regularly. I'm sure they already do they can either read you at
[02:18:37.740 --> 02:18:40.480]  There are two places you can find mark at nine to five mac.com
[02:18:41.340 --> 02:18:43.920]  Or at the top of techmeme
[02:18:47.900 --> 02:18:53.820]  I think that they have a new ratings thing at techmeme and I believe you came out on top was is this am I overstating it?
[02:18:53.820 --> 02:18:59.500]  No, no, that's right. And they have a section about you in the q and a did you see that? Yeah, I did
[02:18:59.580 --> 02:19:04.700]  I honest to god i'm not bullshitting. Yeah, I don't know that. It's pretty funny. Yeah. Yeah, what's it? Where does it say this?
[02:19:05.260 --> 02:19:09.340]  Um on that new leaderboard page, there's a question. They did like a faq
[02:19:10.300 --> 02:19:13.340]  And the sample question is why I love john gruber
[02:19:13.340 --> 02:19:17.500]  Why is he not on the top of the list and then they have like a whole answer about how?
[02:19:17.500 --> 02:19:23.580]  You stick to analysis of other new stories and that doesn't really fit in with techmeme's, uh, techmeme's
[02:19:24.380 --> 02:19:29.500]  Position or goal. I honest to god did not know that now I got to put this on the goddamn show notes. How about that?
[02:19:30.140 --> 02:19:33.340]  There's a fact you got to send me the link. I can't find it about these lists
[02:19:34.940 --> 02:19:38.380]  Is it the blog post about it? Uh, you know what it's probably the blog post. Yeah
[02:19:39.260 --> 02:19:42.540]  I think they linked the blog post on the site. I don't know. I haven't yeah really looked at it
[02:19:42.540 --> 02:19:46.540]  Holy shit, there it is. Yeah, I did not see that
[02:19:48.540 --> 02:19:53.580]  Here's the answer it says I love john gruber. He's great. Why isn't he on your leadership leaderboard?
[02:19:53.580 --> 02:19:59.020]  Although he's in the top 150. He's not in the top 100 and we only show the top 100 while his posts that make techmeme
[02:19:59.020 --> 02:20:02.860]  Do tend to be heavily cited in the tech world. They don't appear there too often
[02:20:03.580 --> 02:20:08.000]  Just twice in the last 90 days in part because he mostly posts links with short commentary
[02:20:08.000 --> 02:20:14.960]  Which doesn't work well for techmeme? That's exactly what i've i've never really worried about this because i've always thought it was exactly right
[02:20:15.440 --> 02:20:20.080]  Yeah, yeah, i've talked to gabe about this. I met gabe years ago at like an o'reilly conference the guy
[02:20:20.080 --> 02:20:26.400]  You know the the guy behind techmeme and we talked he we talked about years ago about how i'm like an exception who doesn't fit
[02:20:26.400 --> 02:20:30.080]  Into the techmeme thing, but I said, you know, I don't break news
[02:20:30.080 --> 02:20:34.560]  That's what this is about is I get you know, it doesn't bother me at all. I don't expect to be there sure
[02:20:34.560 --> 02:20:40.080]  I expect to link to people who are there
[02:20:40.080 --> 02:20:44.800]  Like exactly. Yeah, that's fascinating. I did not realize that I was listed there
[02:20:46.000 --> 02:20:52.720]  The next question. I hate tech crunch. They're jerks. Why is tech crunch number one on the publication leaderboard?
[02:20:53.920 --> 02:20:56.020]  Oh, that's great. I gotta send that to panzerino
[02:20:56.960 --> 02:20:58.960]  That is fantastic. What a great question
[02:20:59.520 --> 02:21:04.240]  I'm, so glad they so glad they answered my question, you know, he's doing a great job there matt
[02:21:04.240 --> 02:21:07.920]  He really is. He's absolutely doing a great job there
[02:21:09.440 --> 02:21:14.640]  He broke the the tim tim cook, uh epic, uh, right the privacy speech
[02:21:14.720 --> 02:21:19.360]  I I think that would that was going to come out no matter what but somehow he was on the ball and had that before
[02:21:21.280 --> 02:21:23.520]  Before the recording even came out, yeah
[02:21:24.800 --> 02:21:31.760]  All right, so nine to five mac. That's where mark, uh is kicking ass as an apple reporter who who?
[02:21:31.760 --> 02:21:34.240]  Really doesn't give a crap what apple thinks of him?
[02:21:35.120 --> 02:21:39.840]  All for the better for the rest of us. I really do mean it. I think you're doing great work and like i've said
[02:21:40.480 --> 02:21:44.400]  uh talking about you on these podcasts the last few weeks I
[02:21:45.040 --> 02:21:48.160]  Here's the most amazing thing to me is I don't know where we would be without you
[02:21:48.240 --> 02:21:50.640]  Well, I know where we'd be we'd be in the dark, you know
[02:21:50.800 --> 02:21:56.240]  but it's absolutely astounding if somebody went around and assembled and i'm sure mac rumors will like
[02:21:56.800 --> 02:21:59.460]  What's the consensus on what's coming at wwdc?
[02:21:59.460 --> 02:22:00.580]  wwdc
[02:22:00.580 --> 02:22:05.300]  uh a remarkable majority of that information is is from you so
[02:22:05.780 --> 02:22:10.020]  Yeah, keep up keep up the good work. Thank you so much. I appreciate it. All right mark
