[00:00.000 --> 00:04.000]  Glenn Fleischman, it is so good to have you back on the show.
[02:29:35.000 --> 02:29:36.000]  But it was optical image stabilization
[02:29:36.000 --> 02:29:38.000]  that only worked for stills and not video.
[02:29:38.000 --> 02:29:41.000]  But then the iPhone, when the 6S got it,
[02:29:41.000 --> 02:29:44.000]  the 6S Plus got optical image stabilization
[02:29:44.000 --> 02:29:46.000]  that works for video too.
[02:29:46.000 --> 02:29:49.000]  And then last year, now the iPhone 7
[02:29:49.000 --> 02:29:52.000]  has optical image stabilization that works with video.
[02:29:52.000 --> 02:29:54.000]  And that is one of the most striking things too,
[02:29:54.000 --> 02:29:55.000]  where I did notice that,
[02:29:55.000 --> 02:29:59.000]  where optical image stabilization on video on these phones
[02:29:59.000 --> 02:30:01.000]  is so unbelievably good.
[02:30:01.000 --> 02:30:06.000]  And so, for example, my X100S doesn't have it.
[02:30:06.000 --> 02:30:07.000]  And so the video,
[02:30:07.000 --> 02:30:11.000]  in terms of the still quality of the frames of video,
[02:30:11.000 --> 02:30:13.000]  it's unbelievably beautiful.
[02:30:13.000 --> 02:30:15.000]  But because it doesn't have optical image stabilization,
[02:30:15.000 --> 02:30:18.000]  or not optical image, yeah, optical image stabilization.
[02:30:18.000 --> 02:30:19.000]  Yeah, yeah.
[02:30:19.000 --> 02:30:22.000]  The video I shoot on my phone looks way better
[02:30:22.000 --> 02:30:27.000]  for just typical taking stuff on vacation, walking around.
[02:30:27.000 --> 02:30:29.000]  It's not on a tripod.
[02:30:29.000 --> 02:30:31.000]  It's handheld.
[02:30:31.000 --> 02:30:34.000]  The smoothness of that makes it so much more,
[02:30:34.000 --> 02:30:36.000]  it looks, honestly,
[02:30:36.000 --> 02:30:38.000]  if you'd have shown it to somebody 10 years ago,
[02:30:38.000 --> 02:30:39.000]  it looks like professional video.
[02:30:39.000 --> 02:30:40.000]  Like, there's no way,
[02:30:40.000 --> 02:30:41.000]  how could an amateur shoot video
[02:30:41.000 --> 02:30:45.000]  that we were walking down a sidewalk and it's not shaking?
[02:30:45.000 --> 02:30:46.000]  How could you get it?
[02:30:46.000 --> 02:30:47.000]  Yeah, it was weird.
[02:30:47.000 --> 02:30:48.000]  I was shooting something the other day
[02:30:48.000 --> 02:30:49.000]  and it was bizarre to me.
[02:30:49.000 --> 02:30:50.000]  I thought something was wrong with the camera
[02:30:50.000 --> 02:30:51.000]  because it was so smooth.
[02:30:51.000 --> 02:30:53.000]  I was like, oh yeah, yeah, it's OAS.
[02:30:53.000 --> 02:30:55.000]  I was actually doing the right thing,
[02:30:55.000 --> 02:30:56.000]  but it was so smooth,
[02:30:56.000 --> 02:30:58.000]  it felt like it wasn't tracking me correctly.
[02:30:58.000 --> 02:31:00.000]  And it was just doing it the right thing.
[02:31:00.000 --> 02:31:02.000]  I honestly think it's a bigger difference
[02:31:02.000 --> 02:31:04.000]  for consumer video
[02:31:04.000 --> 02:31:06.000]  than the move from standard def to high def,
[02:31:06.000 --> 02:31:08.000]  at least in terms, if you compare it
[02:31:08.000 --> 02:31:12.000]  to the last years of standard def, the quality.
[02:31:12.000 --> 02:31:14.000]  Like, when Jonas was born, Jonas is 13,
[02:31:14.000 --> 02:31:17.000]  so we got a video camera right before he was born,
[02:31:17.000 --> 02:31:22.000]  so it was like the best mini DV was the tape technology.
[02:31:22.000 --> 02:31:24.000]  I got the best mini DV that I could,
[02:31:24.000 --> 02:31:27.000]  it was within my budget from Panasonic.
[02:31:27.000 --> 02:31:29.000]  So the first couple years of his life,
[02:31:29.000 --> 02:31:33.000]  our video of him is all shot on a standard def.
[02:31:33.000 --> 02:31:34.000]  And you could see it,
[02:31:34.000 --> 02:31:35.000]  and the frame is four to three,
[02:31:35.000 --> 02:31:37.000]  it's not 16 to nine.
[02:31:37.000 --> 02:31:39.000]  But the quality's not that bad.
[02:31:39.000 --> 02:31:41.000]  It really doesn't look so bad.
[02:31:41.000 --> 02:31:43.000]  Like, when we watch those old movies now,
[02:31:43.000 --> 02:31:48.000]  the aspect ratio stands out more than the image quality.
[02:31:48.000 --> 02:31:49.000]  I mean, the image quality's there,
[02:31:49.000 --> 02:31:50.000]  you can see it,
[02:31:50.000 --> 02:31:52.000]  but I think that the biggest difference
[02:31:52.000 --> 02:31:54.000]  in consumer video is optical image stabilization
[02:31:54.000 --> 02:31:56.000]  because the video I shoot on my phone now,
[02:31:56.000 --> 02:31:59.000]  I'm just shocked sometimes at how smooth it is.
[02:32:01.000 --> 02:32:03.000]  One thing, you know where I got on this rant,
[02:32:03.000 --> 02:32:04.000]  was I noticed it,
[02:32:04.000 --> 02:32:06.000]  was the Clips app,
[02:32:06.000 --> 02:32:08.000]  I don't wanna go on a long rant here,
[02:32:08.000 --> 02:32:09.000]  I know we gotta wrap up,
[02:32:09.000 --> 02:32:11.000]  but Apple's Clips app doesn't,
[02:32:11.000 --> 02:32:12.000]  when you shoot video in Clips,
[02:32:12.000 --> 02:32:15.000]  it doesn't have optical image stabilization.
[02:32:15.000 --> 02:32:18.000]  And it stuck out to me like a sore thumb
[02:32:18.000 --> 02:32:20.000]  when I was making just a little clip
[02:32:20.000 --> 02:32:21.000]  of a family birthday,
[02:32:21.000 --> 02:32:25.000]  of a second birthday of like a niece or a nephew,
[02:32:25.000 --> 02:32:26.000]  I forget whose birthday it was,
[02:32:26.000 --> 02:32:27.000]  earlier this summer,
[02:32:27.000 --> 02:32:28.000]  I shot a bunch of clips with it,
[02:32:28.000 --> 02:32:29.000]  and then when I watched it,
[02:32:29.000 --> 02:32:30.000]  I was like,
[02:32:30.000 --> 02:32:32.000]  this looks like shit compared to my usual videos.
[02:32:32.000 --> 02:32:34.000]  And then I realized that when you shoot a clip in Clips,
[02:32:34.000 --> 02:32:36.000]  and I wrote to Apple and confirmed it,
[02:32:36.000 --> 02:32:38.000]  it doesn't use optical image stabilization.
[02:32:38.000 --> 02:32:39.000]  I don't know why.
[02:32:39.000 --> 02:32:41.000]  Oh, that might be it.
[02:32:41.000 --> 02:32:42.000]  Well, it's weird,
[02:32:42.000 --> 02:32:44.000]  because you think it'd be pulling it out of the,
[02:32:44.000 --> 02:32:45.000]  I don't know.
[02:32:45.000 --> 02:32:46.000]  What is it called?
[02:32:46.000 --> 02:32:47.000]  The image, the ISO?
[02:32:47.000 --> 02:32:48.000]  No, what is it?
[02:32:48.000 --> 02:32:51.000]  The thing that does the image processing on the...
[02:32:51.000 --> 02:32:53.000]  I don't know if it's a battery thing or what,
[02:32:53.000 --> 02:32:55.000]  but you know, huh, it's interesting,
[02:32:55.000 --> 02:32:56.000]  but it really sticks out.
[02:32:56.000 --> 02:32:57.000]  And so if you do this,
[02:32:57.000 --> 02:32:58.000]  if you just like,
[02:32:58.000 --> 02:32:59.000]  just in your house,
[02:32:59.000 --> 02:33:00.000]  just like shoot,
[02:33:00.000 --> 02:33:01.000]  use the camera app,
[02:33:01.000 --> 02:33:04.000]  take a video of yourself walking down a hallway,
[02:33:04.000 --> 02:33:07.000]  and then go back to the beginning,
[02:33:07.000 --> 02:33:09.000]  go to the Clips app,
[02:33:09.000 --> 02:33:11.000]  and reproduce the shot,
[02:33:11.000 --> 02:33:13.000]  and try to hold the camera still,
[02:33:13.000 --> 02:33:15.000]  and then put the two clips side by side and watch,
[02:33:15.000 --> 02:33:16.000]  and I guarantee you,
[02:33:16.000 --> 02:33:18.000]  you will see the difference.
[02:33:18.000 --> 02:33:19.000]  Mm-hmm.
[02:33:19.000 --> 02:33:21.000]  Anyway.
[02:33:21.000 --> 02:33:22.000]  Anyway, my big hope,
[02:33:22.000 --> 02:33:24.000]  my single biggest hope for the iPhone this year,
[02:33:24.000 --> 02:33:27.000]  and I don't think the rumors have answered it.
[02:33:27.000 --> 02:33:28.000]  If they are,
[02:33:28.000 --> 02:33:29.000]  somebody let me know,
[02:33:29.000 --> 02:33:30.000]  but I don't think we know yet
[02:33:30.000 --> 02:33:32.000]  whether the iPhone 7S,
[02:33:32.000 --> 02:33:33.000]  if that's what they're gonna call it,
[02:33:33.000 --> 02:33:36.000]  but the new 4.7-inch new iPhone,
[02:33:36.000 --> 02:33:37.000]  it has dual cameras or not,
[02:33:37.000 --> 02:33:39.000]  and I certainly hope it does
[02:33:39.000 --> 02:33:42.000]  because it's a huge, huge...
[02:33:42.000 --> 02:33:43.000]  It's just a game changer.
[02:33:43.000 --> 02:33:44.000]  It's so great,
[02:33:44.000 --> 02:33:45.000]  and they've barely taught...
[02:33:45.000 --> 02:33:47.000]  I mean, what Apple and third parties can do with it is,
[02:33:47.000 --> 02:33:49.000]  really, we've barely seen anything.
[02:33:49.000 --> 02:33:50.000]  Computational photography, for me,
[02:33:50.000 --> 02:33:52.000]  this is why I wrote the piece for Fast Company last year.
[02:33:52.000 --> 02:33:55.000]  It's the most exciting thing nobody talks about
[02:33:55.000 --> 02:33:58.000]  because it requires too much background
[02:33:58.000 --> 02:34:00.000]  to understand what the future might bring,
[02:34:00.000 --> 02:34:02.000]  so you have to see examples of real things happening
[02:34:02.000 --> 02:34:04.000]  and then be able to do it yourself.
[02:34:04.000 --> 02:34:06.000]  And portrait mode is a taste of that,
[02:34:06.000 --> 02:34:08.000]  but there's so many things you can do
[02:34:08.000 --> 02:34:10.000]  because it gives you the ability,
[02:34:10.000 --> 02:34:11.000]  especially with two cameras
[02:34:11.000 --> 02:34:12.000]  that have different characteristics,
[02:34:12.000 --> 02:34:14.000]  you essentially can combine those
[02:34:14.000 --> 02:34:17.000]  in a way that gives you almost like more F stops.
[02:34:17.000 --> 02:34:19.000]  You can de-blur things
[02:34:19.000 --> 02:34:20.000]  because you have two images.
[02:34:20.000 --> 02:34:22.000]  You can actually do interpolated de-blur.
[02:34:22.000 --> 02:34:26.000]  There's like a million things that are super cool,
[02:34:26.000 --> 02:34:28.000]  and we've seen one of them.
[02:34:28.000 --> 02:34:30.000]  We've seen HDR, which dates back years.
[02:34:30.000 --> 02:34:32.000]  That's a form of computational photography,
[02:34:32.000 --> 02:34:34.000]  and now we're seeing this portrait mode,
[02:34:34.000 --> 02:34:36.000]  and there's like 50 other cool things
[02:34:36.000 --> 02:34:38.000]  that are gonna come that will be exciting
[02:34:38.000 --> 02:34:39.000]  as a photographer to use
[02:34:39.000 --> 02:34:41.000]  as an additional tool in your arsenal.
[02:34:41.000 --> 02:34:42.000]  You know what I've noticed, too?
[02:34:42.000 --> 02:34:43.000]  I don't know if you have.
[02:34:43.000 --> 02:34:44.000]  I noticed this summer,
[02:34:44.000 --> 02:34:46.000]  and I guess in shocking summers
[02:34:46.000 --> 02:34:49.000]  when I'm outside and not in my little cave,
[02:34:49.000 --> 02:34:51.000]  but I noticed with some shots
[02:34:51.000 --> 02:34:53.000]  we were at Disney World last month,
[02:34:53.000 --> 02:34:56.000]  I noticed that I almost always now,
[02:34:56.000 --> 02:34:58.000]  when you have HDR on it,
[02:34:58.000 --> 02:35:01.000]  I have it set so that it still saves two versions
[02:35:01.000 --> 02:35:03.000]  of the photo, one with and one without,
[02:35:03.000 --> 02:35:05.000]  and the reason that preference exists
[02:35:05.000 --> 02:35:08.000]  is that when the iPhone first got HDR,
[02:35:08.000 --> 02:35:11.000]  sometimes it made the photo better,
[02:35:11.000 --> 02:35:12.000]  and sometimes it definitely didn't.
[02:35:12.000 --> 02:35:15.000]  Sometimes there'd be like a weird double exposure
[02:35:15.000 --> 02:35:17.000]  type thing, or something would just look wrong
[02:35:17.000 --> 02:35:19.000]  in the HDR version.
[02:35:19.000 --> 02:35:22.000]  I'm on the cusp of just turning that preference off
[02:35:22.000 --> 02:35:23.000]  because whenever it's on,
[02:35:23.000 --> 02:35:25.000]  I always prefer HDR now.
[02:35:25.000 --> 02:35:28.000]  I can't find one in my last several hundred shots
[02:35:28.000 --> 02:35:30.000]  where I prefer the non-HDR version.
[02:35:30.000 --> 02:35:32.000]  Yeah, if it takes an HDR shot,
[02:35:32.000 --> 02:35:33.000]  there's a reason for it,
[02:35:33.000 --> 02:35:35.000]  and then an HDR one is blown out
[02:35:35.000 --> 02:35:36.000]  or something else is wrong.
[02:35:36.000 --> 02:35:37.000]  And they've gotten better, though.
[02:35:37.000 --> 02:35:39.000]  They've gotten better at avoiding it,
[02:35:39.000 --> 02:35:41.000]  and it's the sort of incremental improvement
[02:35:41.000 --> 02:35:43.000]  that nobody really sings the praises off.
[02:35:43.000 --> 02:35:45.000]  So if you're there on the HDR team
[02:35:45.000 --> 02:35:47.000]  at Apple's photo engineering team.
[02:35:47.000 --> 02:35:48.000]  We noticed.
[02:35:48.000 --> 02:35:51.000]  We noticed, and I thank you for your blood, sweat, and tears.
[02:35:51.000 --> 02:35:52.000]  No, it's true. I should turn that off, too.
[02:35:52.000 --> 02:35:54.000]  I'm taking all these extra shots for no good reason.
[02:35:54.000 --> 02:35:55.000]  Yeah, I've got all these extra shots,
[02:35:55.000 --> 02:35:56.000]  and I realize now that I,
[02:35:56.000 --> 02:35:58.000]  but I used to think, well, I,
[02:35:58.000 --> 02:35:59.000]  but I, you know, look at this one.
[02:35:59.000 --> 02:36:01.000]  This one looks weird with HDR,
[02:36:01.000 --> 02:36:03.000]  and now I don't see that anymore.
[02:36:03.000 --> 02:36:04.000]  The funny thing is that the one thing
[02:36:04.000 --> 02:36:05.000]  that I had to deal with recently,
[02:36:05.000 --> 02:36:07.000]  I was trying to take a very long,
[02:36:07.000 --> 02:36:10.000]  I wanted to take pictures of me printing a time lapse,
[02:36:10.000 --> 02:36:12.000]  and I looked into Apple's options.
[02:36:12.000 --> 02:36:13.000]  You know, Apple's time lapse has this thing.
[02:36:13.000 --> 02:36:14.000]  It like dynamically adjusts,
[02:36:14.000 --> 02:36:17.000]  so it's always about the same length when you're done.
[02:36:17.000 --> 02:36:19.000]  It just starts dropping frames and kind of reworks it.
[02:36:19.000 --> 02:36:21.000]  So I used a, what's it called?
[02:36:21.000 --> 02:36:24.000]  Frame, not Framoleum.
[02:36:24.000 --> 02:36:28.000]  It's from our friends at Studio Neat, Framographer,
[02:36:28.000 --> 02:36:30.000]  which is, I think, is an old app.
[02:36:30.000 --> 02:36:32.000]  They still sell it, and it actually was incredible.
[02:36:32.000 --> 02:36:34.000]  The interface seems a little outdated,
[02:36:34.000 --> 02:36:39.000]  so I think it may be made for an earlier iOS version,
[02:36:39.000 --> 02:36:41.000]  and it's great.
[02:36:41.000 --> 02:36:43.000]  So I was able to do that with,
[02:36:43.000 --> 02:36:47.000]  I used it with the iPhone 7 Plus to get a better image,
[02:36:47.000 --> 02:36:50.000]  and at one point recorded like seven hours, I think,
[02:36:50.000 --> 02:36:52.000]  or five hours, and wound up with a few minutes,
[02:36:52.000 --> 02:36:54.000]  and it just was fantastic to get a,
[02:36:54.000 --> 02:36:57.000]  but I wanted it spaced a certain interval apart,
[02:36:57.000 --> 02:37:00.000]  as opposed to having it dynamically shrunk to a certain,
[02:37:00.000 --> 02:37:02.000]  to fit to a certain total length.
[02:37:02.000 --> 02:37:08.000]  Anyway, I imagine there was some laughter within Cupertino
[02:37:08.000 --> 02:37:12.000]  when this Vic N' Dozier post passed around.
[02:37:12.000 --> 02:37:14.000]  Oh, it's okay, it's okay to have some schadenfreude,
[02:37:14.000 --> 02:37:16.000]  but I think, I mean, it's great that he came to see
[02:37:16.000 --> 02:37:18.000]  what the truth was, right?
[02:37:18.000 --> 02:37:20.000]  Well, between him and now with Steven Stanofsky
[02:37:20.000 --> 02:37:24.000]  being probably one of the top three or four iPad proponents
[02:37:24.000 --> 02:37:25.000]  in the world.
[02:37:25.000 --> 02:37:26.000]  Oh my God, so funny.
[02:37:26.000 --> 02:37:28.000]  Outside Apple, at least.
[02:37:28.000 --> 02:37:31.000]  I mean, he's like right behind Federico Vidicci.
[02:37:31.000 --> 02:37:34.000]  I mean, that's how staunchly Steven Stanofsky,
[02:37:34.000 --> 02:37:37.000]  who, if you don't know the name, was formerly at Microsoft
